Date,Time,Open,High,Low,Close,Volume,"Simple Moving Average - SMA - SMA(40)","Aroon - Aroon Up(High,20)","Aroon - Aroon Down(Low,20)","Historical Volatility - HV - HV(Close,20,251)","BOLLINGER BAND ® - BB - BBUpper(40,2)","BOLLINGER BAND ® - BB - BBLower(40,2)","Relative Strength Index - RSI - RSI(14)","Exponential Moving Average - EMA - EMA(10,Modern)"
11/17/2022,10:37 AM,391.465,391.51,391.365,391.43,98604,391.22907,55,0,0.831289964470806,392.297351531549,390.160788468451,47.9319781291395,391.610610233122
11/17/2022,10:38 AM,391.42,391.73,391.415,391.685,138742,391.25957,50,0,0.826192160642281,392.308336585361,390.210803414639,54.2155552387523,391.624135645282
11/17/2022,10:39 AM,391.705,391.72,391.54,391.58,68212,391.28707,45,0,0.821966272448732,392.309997636941,390.264142363059,51.4616235951107,391.616110982503
11/17/2022,10:40 AM,391.54,391.56,391.36,391.37,72068,391.31196,40,0,0.746549727080769,392.292416010101,390.331503989899,46.3866168439573,391.571363531139
11/17/2022,10:41 AM,391.365,391.69,391.31,391.68,100304,391.3489575,35,100,0.799377873520488,392.268599172576,390.429315827424,53.6527621649834,391.591115616386
11/17/2022,10:42 AM,391.67,391.7,391.32,391.38,103658,391.3699575,30,95,0.788398770300112,392.252358738654,390.487556261346,47.0124567175421,391.552730958862
11/17/2022,10:43 AM,391.35,391.38,391.22,391.335,77497,391.3926475,25,100,0.726286729462256,392.222016742404,390.563278257596,46.0909727406378,391.513143511796
11/17/2022,10:44 AM,391.33,391.46,391.22,391.43,67626,391.4128975,20,100,0.706531001893171,392.204512428569,390.621282571431,48.3908128061781,391.498026509651
11/17/2022,10:45 AM,391.42,391.49,391.25,391.3,47491,391.4233975,15,95,0.714408458584495,392.197406417991,390.649388582009,45.528457716088,391.462021689715
11/17/2022,10:46 AM,391.3,391.3,390.88,390.88,143661,391.4213975,10,100,0.755358660703621,392.200581794698,390.642213205302,37.757798277413,391.356199564312
11/17/2022,10:47 AM,390.89,391.15,390.89,391.039,91321,391.4282475,5,95,0.732465432582762,392.188824578214,390.667670421786,41.8070766073904,391.298526916255
11/17/2022,10:48 AM,391.03,391.0651,390.87,390.9399,82017,391.4246925,0,100,0.733319017646572,392.192998076297,390.656386923702,40.0578675311078,391.233322022391
11/17/2022,10:49 AM,390.94,390.94,390.62,390.7099,103466,391.41844,5,100,0.74336977041059,392.205609615331,390.631270384669,36.2653890306084,391.138154381956
11/17/2022,10:50 AM,390.69,390.86,390.62,390.85,105690,391.42094,0,100,0.766533573811273,392.200197469209,390.641682530791,39.9922050412318,391.085762676146
11/17/2022,10:51 AM,390.85,391.03,390.75,390.87,142222,391.41844,0,95,0.74634073056427,392.204083687286,390.632796312714,40.5268434389105,391.046533098665
11/17/2022,10:52 AM,390.86,390.98,390.77,390.96,76172,391.42219,5,90,0.754056578210942,392.197545759192,390.646834240808,42.9884167632312,391.030799807998
11/17/2022,10:53 AM,390.99,390.99,390.84,390.88,72570,391.42969,0,85,0.754726268028524,392.177633950649,390.681746049351,41.3500904293618,391.00338166109
11/17/2022,10:54 AM,390.85,391.06,390.77,390.974,76130,391.43154,20,80,0.763717493653819,392.174584178601,390.688495821399,44.0483540511615,390.998039540891
11/17/2022,10:55 AM,390.97,390.97,390.6899,390.89,84529,391.42854,15,75,0.740362983847282,392.179296692572,390.677783307428,42.1808214977246,390.978395988002
11/17/2022,10:56 AM,390.89,390.9252,390.62,390.73,55053,391.4187,10,100,0.748313146577483,392.19506671864,390.64233328136,38.8059145787909,390.933233081093
11/17/2022,10:57 AM,390.75,390.8,390.51,390.67,97105,391.39945,5,100,0.748582737774686,392.210173647179,390.588726352821,37.5912686480777,390.885372520894
11/17/2022,10:58 AM,390.68,390.79,390.545,390.78,82707,391.3892,0,95,0.710227270474727,392.220366338341,390.558033661659,41.2235639037899,390.866213880731
11/17/2022,10:59 AM,390.77,390.81,390.5,390.61,104119,391.37045,0,100,0.717391426749904,392.23651075545,390.50438924455,37.5830038672199,390.81962953878
11/17/2022,11:00 AM,390.62,390.68,390.53,390.56,61913,391.3399775,10,95,0.700771539598514,392.231799634187,390.448155365813,36.5603268450339,390.772424168093
11/17/2022,11:01 AM,390.541,390.84,390.51,390.8,105158,391.3132775,5,90,0.673091180530718,392.20421630432,390.42233869568,44.3833995979365,390.777437955712
11/17/2022,11:02 AM,390.78,390.97,390.74,390.8,129310,391.2949025,0,85,0.627998604782037,392.197039231913,390.392765768087,44.3833995979365,390.781540145583
11/17/2022,11:03 AM,390.7974,390.9,390.71,390.84,52562,391.2696525,10,80,0.630844991311999,392.164739500358,390.374565499641,45.6782171088969,390.792169210022
11/17/2022,11:04 AM,390.84,390.9,390.705,390.75,84440,391.24793,5,75,0.622737017997339,392.150204770082,390.345655229918,43.2390185517629,390.784502080927
11/17/2022,11:05 AM,390.75,390.79,390.63,390.74,51210,391.227055,0,70,0.616224720138717,392.136702463651,390.317407536349,42.9644885390368,390.776410793486
11/17/2022,11:06 AM,390.7329,390.85,390.6921,390.79,61340,391.20103,0,65,0.492681705175794,392.09957107125,390.30248892875,44.8499371583317,390.778881558307
11/17/2022,11:07 AM,390.75,390.99,390.74,390.97,62872,391.17353,0,60,0.499043141356579,392.03037167532,390.31668832468,51.1150861032853,390.813630365887
11/17/2022,11:08 AM,390.96,391.21,390.92,391.0995,110318,391.1512675,100,55,0.504134253777295,391.967405294055,390.335129705945,55.0697214709049,390.865606662999
11/17/2022,11:09 AM,391.09,391.09,390.68,390.685,101737,391.1173925,95,50,0.598345063146151,391.894725651922,390.340059348077,43.0618998461323,390.832769087908
11/17/2022,11:10 AM,390.68,390.73,390.48,390.4891,83036,391.08037,90,100,0.607172687548115,391.832397498568,390.328342501432,38.7602727700063,390.770283799197
11/17/2022,11:11 AM,390.49,390.62,390.37,390.4627,116265,391.04894,85,100,0.606113763090937,391.796499857009,390.301380142991,38.2063750475785,390.714359472071
11/17/2022,11:12 AM,390.4799,390.65,390.41,390.584,75120,391.02004,80,95,0.61170354195859,391.747615032478,390.292464967522,42.2872745178687,390.690657749876
11/17/2022,11:13 AM,390.594,390.6001,390.38,390.4,77307,390.988075,75,90,0.627791738228995,391.709430124508,390.266719875492,38.1694329156065,390.637810886262
11/17/2022,11:14 AM,390.39,390.61,390.29,390.5,96212,390.958575,70,100,0.628810293663558,391.660584911528,390.256565088472,41.5033718111298,390.612754361487
11/17/2022,11:15 AM,390.49,390.7756,390.48,390.7756,98042,390.9419675,65,95,0.681331536502496,391.628913850992,390.255021149008,49.5734470615499,390.642362659399
11/17/2022,11:16 AM,390.77,390.78,390.56,390.59,78375,390.9202175,60,90,0.686732977055938,391.595165930658,390.245269069342,45.0645980282562,390.632842175872
11/17/2022,11:17 AM,390.59,390.83,390.58,390.8,53590,390.9044675,55,85,0.711878025165876,391.560227013152,390.248707986847,50.5454586795457,390.663234507531
11/17/2022,11:18 AM,390.82,390.93,390.75,390.775,154570,390.8817175,50,80,0.705386885675457,391.488926997686,390.274508002314,49.9071008446555,390.683555506162
11/17/2022,11:19 AM,390.7599,390.96,390.69,390.93,125898,390.8654675,45,75,0.69921846707677,391.430374924996,390.300560075004,53.8027062453535,390.728363595951
11/17/2022,11:20 AM,390.92,390.92,390.77,390.78,83473,390.8507175,40,70,0.71311511235369,391.392497265094,390.308937734906,49.7690199055281,390.737752033051
11/17/2022,11:21 AM,390.7701,390.91,390.6,390.6,109233,390.8237175,35,65,0.697914315901972,391.301341090154,390.346093909846,45.3729835951096,390.71270620886
11/17/2022,11:22 AM,390.6085,390.65,390.471,390.6001,147388,390.80422,30,60,0.697915562138481,391.25216993098,390.35627006902,45.3758702767602,390.692232352703
11/17/2022,11:23 AM,390.6,390.64,390.38,390.6,170158,390.785845,25,55,0.696375790683574,391.204541092847,390.367148907153,45.3732881572022,390.67546283403
11/17/2022,11:24 AM,390.61,390.79,390.56,390.75,163633,390.768845,20,50,0.707035758787008,391.133242225918,390.404447774082,49.9720413696553,390.689015046025
11/17/2022,11:25 AM,390.75,391,390.74,390.9099,261635,390.7590925,15,45,0.721579822463298,391.084948267238,390.433236732762,54.3808765992796,390.729175946747
11/17/2022,11:26 AM,390.9185,391.04,390.83,391.02,135759,390.7625925,10,40,0.726603578052079,391.096476298525,390.428708701476,57.1791485756194,390.782053047339
11/17/2022,11:27 AM,391.02,391.075,390.93,391.04,87074,390.7626175,5,35,0.708772965239955,391.096584219986,390.428650780014,57.6868931162669,390.828952493277
11/17/2022,11:28 AM,391.03,391.32,390.99,391.19,154087,390.76887,100,30,0.712151295199134,391.124538478571,390.413201521429,61.385097068792,390.894597494499
11/17/2022,11:29 AM,391.2,391.31,391.16,391.24,79432,390.7821225,95,25,0.58975934608885,391.166370015489,390.397874984511,62.5597724098901,390.957397950045
11/17/2022,11:30 AM,391.23,391.31,391.13,391.2289,95280,390.791595,90,20,0.55166840856571,391.199991275696,390.383198724304,62.1080739354474,391.006761959128
11/17/2022,11:31 AM,391.2168,391.32,391.02,391.0899,124551,390.7970925,100,15,0.57189499188515,391.215363322467,390.378821677534,56.597148678819,391.021877966559
11/17/2022,11:32 AM,391.09,391.26,391.0156,391.11,102891,390.8008425,95,10,0.565437800547422,391.227493945463,390.374191054537,57.1887112684795,391.037900154457
11/17/2022,11:33 AM,391.1,391.345,391.07,391.3039,86937,390.81144,100,5,0.547246197646458,391.26560111853,390.357278881471,62.4987171247471,391.086263762738
11/17/2022,11:34 AM,391.32,391.4352,391.3,391.38,110137,390.82159,100,0,0.54558867857491,391.306908146962,390.336271853038,64.3667465238507,391.139670351331
11/17/2022,11:35 AM,391.37,391.5,391.2718,391.485,108328,390.836465,100,40,0.503147573751669,391.363904030676,390.309025969325,66.822425230489,391.20245756018
11/17/2022,11:36 AM,391.49,391.59,391.44,391.52,151449,390.856215,100,35,0.456913062615598,391.423859440659,390.288570559342,67.6233854209901,391.260192549238
11/17/2022,11:37 AM,391.51,391.58,391.44,391.47,107381,390.876215,95,30,0.4367311284357,391.471887570368,390.280542429633,65.2017315597304,391.298339358468
11/17/2022,11:38 AM,391.465,391.5,391.33,391.335,143545,390.89009,90,25,0.460158093290354,391.501791220929,390.278388779071,59.0527430472633,391.305004929655
11/17/2022,11:39 AM,391.355,391.515,391.35,391.51,93494,390.91259,85,20,0.465191622846973,391.547205776421,390.277974223579,63.8164466285596,391.342276760627
11/17/2022,11:40 AM,391.51,391.68,391.45,391.515,111630,390.936465,100,15,0.433777517582154,391.587859604845,390.285070395155,63.9455078993996,391.373680985968
11/17/2022,11:41 AM,391.5,391.6,391.45,391.45,60973,390.952715,95,10,0.394809411946315,391.621869863323,390.283560136677,60.9042025894932,391.387557170337
11/17/2022,11:42 AM,391.45,391.52,391.36,391.37,74234,390.966965,90,5,0.40864809957157,391.64669764669,390.287232353311,57.2925227995393,391.384364957548
11/17/2022,11:43 AM,391.38,391.56,391.3684,391.51,76649,390.983715,85,0,0.416815480642266,391.682850831693,390.284579168307,61.5856894992375,391.40720769254
11/17/2022,11:44 AM,391.53,391.6,391.4601,391.535,91613,391.00334,80,0,0.404922835616863,391.719007236674,390.287672763326,62.3142204286854,391.430442657532
11/17/2022,11:45 AM,391.54,391.6,391.48,391.51,36815,391.02259,75,0,0.391728020179898,391.750211456128,390.294968543873,61.066991543666,391.44490762889
11/17/2022,11:46 AM,391.51,391.69,391.49,391.66,70313,391.04434,100,0,0.400293436180853,391.794513362363,390.294166637638,65.5255300824642,391.484015332728
11/17/2022,11:47 AM,391.65,391.72,391.55,391.71,77080,391.06284,100,0,0.400437764449714,391.840753075755,390.284926924245,66.8867846291017,391.52510345405
11/17/2022,11:48 AM,391.71,391.84,391.635,391.635,88505,391.0762275,100,0,0.39570618452351,391.874371699885,390.278083300115,62.8762322037632,391.545084644223
11/17/2022,11:49 AM,391.64,391.795,391.51,391.5128,67689,391.0969225,95,15,0.415475385962949,391.896343972408,390.297501027592,56.8907372828385,391.53921470891
11/17/2022,11:50 AM,391.52,391.54,391.42,391.47,78047,391.121445,90,10,0.41808435904414,391.904798778091,390.338091221909,54.9188055011569,391.526630216381
11/17/2022,11:51 AM,391.49,391.675,391.4,391.615,70942,391.1502525,85,5,0.408467530375361,391.919205560647,390.381299439353,59.9798272131568,391.542697449766
11/17/2022,11:52 AM,391.62,391.76,391.62,391.68,80008,391.1776525,80,0,0.409900042678089,391.942037757327,390.413267242674,62.0372812000446,391.567661549809
11/17/2022,11:53 AM,391.69,391.69,391.36,391.4544,82388,391.2040125,75,0,0.438689470236897,391.931123220573,390.476901779428,52.0377410269721,391.547068540753
11/17/2022,11:54 AM,391.47,391.63,391.3102,391.4901,125274,391.228765,70,5,0.434747926776462,391.925084251991,390.532445748009,53.3199890163758,391.536710624252
11/17/2022,11:55 AM,391.5,391.61,391.4,391.558,81622,391.248325,65,0,0.428679607401792,391.936535609689,390.560114390312,55.7434508571797,391.540581419843
11/17/2022,11:56 AM,391.5577,392.81,391.5577,392.635,328758,391.29945,100,90,1.06123738145689,392.081835043129,390.517064956872,76.5443807905496,391.739566616235
